# FRONT OFFICE DIRECTORY

Coach | Chris Truby
Assistant Director - Hitting | Timothy McKeithan
Director - Pitching Development | Jeremy Bleich
Coordinator - Mental Performance | Andy Bass
Coordinator - Major League Advance | Jacob Mencacci
Major League Assistant | Alex Jimenez
Head of Major League Video | Kevin Roach
Major League Video Assistant | Matthew Rosa  
##### MAJOR LEAGUE SPORT PERFORMANCE  
Title | Name
---|---
Senior Director - Sports Medicine | Todd Tomczyk
Special Assistant - Performance and Acquisition | AJ Patrick
Head Major League Athletic Trainer  | Rafael Freitas
Assistant Major League Athletic Trainer | Tony Leo
Major League Physical Therapist & Assistant Athletic Trainer | Luke Novosel
Senior Rehab Coordinator | Seth Steinhauer
License Massage Therapist | Koji Tanaka
Head Major League Strength and Conditioning Coach | Terence Brannic
Assistant Coach - Strength and Conditioning  | Alan Burr
Head Major League Dietitian | Hillary Ake
Executive Chef - Home Clubhouse | Tony Palatucci
