# FRONT OFFICE DIRECTORY

Senior Data Scientist  | James Bueghly
Junior Data Scientist | Katherine McDonough
Data Engineer | Michael Walsh
Data Engineer | Sawan Beli
Associate Developer - Baseball Applications | Zoe Torok
Applied Biomechanist | Baxter Halligan
Analyst - Research and Development | Connor Kurcon
Analyst - Research and Development | Noah Woodward
Analyst - Major League | Conner Rivers
Analyst - Research and Development | Amber Potter  
##### PRO SCOUTING  
Title | Name
---|---
Coordinator - Pro Player Strategy | Grant Jones
Pro Evaluation Team Leader | Sean McNally
Pro Evaluation Team Leader | Andrew Lorraine
Special Assignment Scout | Doug Strange
Specialist - Pro Evaluation | Everett Cicciarelli
Specialist - Pro Evaluation | Johnnie Teng
Pro Personnel Specialist | Aaron Razum
Pro Scout | Michael Landestoy
Pro Scout | Everett Russell
Pro Scout | Kinza Baad
Pro Scout | Brendan Gawlowski
Pro Scout  | Jose Cruz
Pro Scout  | Jim Howard
Pro Scout  | Jeremy Powell  
##### INTERNATIONAL SCOUTING
