# FRONT OFFICE DIRECTORY

Assistant, International Operations | Marc Juaneda  
##### AMATEUR SCOUTING  
Title | Name
---|---
Director - Amateur Scouting | Justin Horowitz
Director - Learning | Bernie Holliday
Assistant Director - Amateur Scouting | Mike Mangan
Coordinator - Amateur Scouting | Micaela Abbatine
Specialist - Scouting Operations | Margaret Zimmer
Video Coordinator | Brett Gilliland
National Supervisor | Jimmy Lester
National Supervisor | Sean Heffernan
Regional Supervisor | Matt Skirving
Regional Supervisor | Brian Tracy
Regional Supervisor | Cam Murphy
Regional Supervisor | John Lombardo
Area Supervisor | Matt Bimeal
Area Supervisor | Eddie Charles
Area Supervisor | Matt Doughty
Area Supervisor | Brett Evert
Area Supervisor | Eric Gatewood
Area Supervisor | Jalen Heath
Area Supervisor | John Koronka
Area Supervisor | Wayne Mathis
Area Supervisor | Darren Mazeroski
Area Supervisor | Kier Meredith
Area Supervisor | Dan Radcliff
Area Supervisor | Brandon Rembert
Area Supervisor | Mike Sansoe
