# FRONT OFFICE DIRECTORY

Outfield Coordinator | Kieran Mattison
Minor League Coach | Ethan Goforth
Minor League Manager | Jose Mosquera
Minor League Coach | Eric Patterson
Minor League Pitching Coach | Drew Benes
Minor League Pitching Coach | Fernando Nieve
Minor League Pitching Coach | Matt Ford
Minor League Pitching Coach | Renny Duarte
Minor League Pitching Coach | Mick Fieldbinder
Minor League Pitching Coach | David Perez
Minor League DR Pitching Coach | Jose Cueto
Minor League Pitching Coach | Matthew Myers
Minor League Pitching Coach | Cibney Bello
Minor League Hitting Coach | Jonathan Roof
Minor League Hitting Coach | Eric Munson
Coach - Strength and Conditioning - Minor League | Chris Walter
Coach - Strength and Conditioning - Minor League | Jonathan Prieto
Minor league Hitting Coach | Quentin Brown
Minor League Hitting Coach | Khelyn Smith
Minor League Hitting Coach | Elys Escobar
Minor League Hitting Coach | Scott Seabol
Minor League Coach | Gary Green
Manager - Minor League | Jose Mendez
