# FRONT OFFICE DIRECTORY

Minor League Catching Coordinator | Chad Noble
Minor League Field Coordinator | Shawn Bowman
Coordinator - Minor League Pitching Skill Development & Rehab | Vic Black
Coordinator - Complex Hitting | Callix Crabbe
Coordinator - Hitting Development | Jonathan Johnston
Coordinator - Pitching Development | Josh Hopper
Latin American Field Coordinator | Gera Alvarez
Coordinator - Pitching - Complex | Amaury Telemaco
Lead ATC - Minor League - Complex | Coleman Duke
Specialist - Medical Performance - Minor League | Matt McNamee
Coordinator - Minor League Athletic Training - Bradenton | Alexa DeHaeseleer
Coordinator - Minor League Athletic Training - Indy | Tyler Brooks
Coordinator - Minor League Athletic Training - ALT | Victor Silva
Coordinator - Minor League Athletic Training - GB | Casey Lee
Athletic Trainer - Minor League | Ramon Morales
Coordinator - Minor League Athletic Training - DR AT | Alex Mena
Sr ATC Medical Coordinator/Draft Med Cor | Carl Randolph
