# FRONT OFFICE DIRECTORY

Director - IT Services | Stephen McCulloch
Manager - User Technologies | Kip DeBaker
Manager - Enterprise Systems | DJ Hoy
Network Administrator | Bill Balzer
Senior Support Specialist | Eric Freeman
Enterprise Systems Analyst | Sean Cerneskie
Support Specialist | Hunter Brace
IT Analyst - Florida Operations | Patricio Zuniga Jr.  
##### MARKETING AND FAN ENGAGEMENT  
##### MARKETING  
Title | Name
---|---
Vice President - Marketing | Carey Cox
Director - Marketing and Advertising | Mitchell Stubbs
Manager - Performance Marketing | Megan Bennett
Manager - Advertising | Ashley Niedzwicki
Manager - Ballpark Entertainment | Celine Halt
Coordinator - Entertainment | Tyler Recktenwald
Coordinator - Fan Engagement | Briana Feldman
Director - Social Media and Content Strategy | Zachary Galia
Manager - Social Media | Juliana Marcolini
Director - Ballpark Productions | Jon Cofer
Manager - Ballpark Productions | Grant Van Buren
Producer - Ballpark Productions | Jason Tien
