# FRONT OFFICE DIRECTORY

Manager - Social Media | Juliana Marcolini
Director - Ballpark Productions | Jon Cofer
Manager - Ballpark Productions | Grant Van Buren
Producer - Ballpark Productions | Jason Tien
Multimedia Producer - Ballpark Productions | Mark Massimino
Operations Coordinator - Game Presentation | Marty Corbett
Director - Alumni Affairs- Promotions and Licensing | Joe Billetdeaux
Senior Manager – Promotions | Nick Hobbs
Alumni Team Ambassador | Steve Blass  
##### COMMUNICATIONS & MEDIA  
Title | Name
---|---
Senior Vice President - Communications and Broadcasting | Brian Warecki
Senior Director, Communications & Content  | Terry Rodgers
Director - Broadcasting | Marc Garda
Director - Hall of Fame and Team Historian | Jim Trdinich
Director - Media Relations | Dan Hart
Director - Public Affairs | Patrick Joyal
Manager - Baseball Communications | Luke Henne
Director - Story and Production | Sterling McLean
Photographer | Harrison Barden
Content Producer | Ian Swartz
Associate Producer | Jack Black
