# FRONT OFFICE DIRECTORY

Manager - Baseball Communications | Luke Henne
Director - Story and Production | Sterling McLean
Photographer | Harrison Barden
Content Producer | Ian Swartz
Associate Producer | Jack Black
Play-by-Play Announcer | Greg Brown
Play-by-Play Announcer | Joe Block
Color Analyst | Bob Walk
Color Analyst | John Wehner  
##### PIRATES CHARITIES & COMMUNITY ENGAGEMENT  
Title | Name
---|---
Executive Director - Pirates Charities and Community Engagement | Jacque Skowvron Stevenson
Manager - Youth Baseball and Softball | John Leonard
Manager - Pirates Charities | Jacqueline Damrow
Manager - Community Programming | Sarah Heffler
Coordinator - Pirates Charities and Community Engagement | Kelly Donis  
##### CREATIVE  
Title | Name
---|---
Creative Director | David Sharpensteen
Senior Graphic Designer | Jordan Herald
Graphic Designer | Rachel Elder
Graphic Designer | Sarmad Adelakun
Coordinator - Multimedia Producer | Mark Cottington
Project Manager | Catherine Dumm
