# FRONT OFFICE DIRECTORY

Senior Graphic Designer | Jordan Herald
Graphic Designer | Rachel Elder
Graphic Designer | Sarmad Adelakun
Coordinator - Multimedia Producer | Mark Cottington
Project Manager | Catherine Dumm  
##### SALES AND BUSINESS DEVELOPMENT  
Title | Name
---|---
Executive Vice President - Sales and Business Development | David Burke
Executive Assistant - EVP - Sales and Business Development | Anna Kern  
##### TICKET SALES AND SERVICE  
Title | Name
---|---
Vice President - Ticket Sales and Service | Ryan Niemeyer
Senior Director - Ticket Sales and Service | Missy DeMarco
Director - Group Sales | Jennifer McGee
Manager - Ticket Sales and Service | Lauren Hansen
Manager - Ticket Sales and Service | Thomas McCarty III
Coordinator - Group Sales and Hospitality | Kierian Grieco
Account Executive - Ticket Sales and Service | Gabrielle Miller
Account Executive - Ticket Sales and Service | Jacob Betush
Account Executive - Ticket Sales and Service | Michael Crawford
