# FRONT OFFICE DIRECTORY

##### CUSTOMER SERVICE  
Title | Name
---|---
Manager - Customer Service and Tours | Allie Guido
Coordinator - Customer Service and Ticket Operations | Lexi Waltz
Customer Service Representative | Staci Blamer
Front Desk Associate - PNC Park | Maria Henry
Front Desk Associate - PNC Park | Antoinette DiBacco  
##### PARTNERSHIPS & PNC PARK EVENTS  
Title | Name
---|---
Vice President of Corporate Partnerships - Premium & Events | Jared Kozinn
Senior Director - Corporate Partnership Sales | Andy Goebel
Director - Premium Partnerships and PNC Park Events | Erinn Sander
Director - Corporate Partnership Activation | Katie Shockey
Director - Corporate Partnership Solutions | John Bray
Senior Manager - Corporate and Premium Partnership Sales | Angela Zandier
Senior Manager - Corporate and Premium Partnership Sales | Charlene Cheroke
Director - Corporate and Premium Partnership Sales | Dave Shinsky
Director - Corporate and Premium Partnership Sales | Chris Stevens
